Symbol,StartDt,Duration,TotalUpRate,MeanUpRate,UpDuration,MeanDownRate,DownDuration,Up/Down_Rate,BullIndex
PGR,20170104,145,0.339994371,0.007407812,80,-0.00454177,65,1.230769231,41
TROW,20170203,124,0.243792325,0.008392949,78,-0.009282308,46,1.695652174,41
NTLA,20170531,45,0.391036907,0.036650851,24,-0.024405455,21,1.142857143,41
BIB,20170125,131,0.330174927,0.016678525,73,-0.015588661,58,1.25862069,41
WEB,20170419,73,0.274566474,0.018096124,44,-0.018053686,29,1.517241379,41
SP,20170209,120,0.260948905,0.012526032,74,-0.014603841,46,1.608695652,41
JPNL,20170104,144,0.37593985,0.01383443,75,-0.01014391,69,1.086956522,40
IIVI,20170504,62,0.296663661,0.021846012,36,-0.019402937,26,1.384615385,40
GGAL,20170105,144,0.314735336,0.014955734,81,-0.014481978,63,1.285714286,40
ICUI,20170109,142,0.32056872,0.009943075,79,-0.007909361,63,1.253968254,40
ROP,20170104,145,0.278267453,0.006294084,86,-0.004934458,59,1.457627119,40
ROBO,20170104,145,0.244912039,0.005403439,90,-0.004799781,55,1.636363636,40
GIL,20170208,121,0.263246426,0.008957473,73,-0.008592458,48,1.520833333,40
CWCO,20170203,124,0.263681592,0.012206595,75,-0.013521661,49,1.530612245,40
MSB,20170104,145,0.341013825,0.022661487,79,-0.021514842,66,1.196969697,40
WLH,20170123,133,0.349339736,0.01349938,71,-0.010344305,62,1.14516129,40
RAIL,20170405,82,0.365196078,0.021626166,43,-0.014875288,39,1.102564103,40
EWP,20170104,145,0.283054004,0.007624572,85,-0.006525128,60,1.416666667,40
TRK,20170531,45,0.269344359,0.017139011,28,-0.013456792,17,1.647058824,40
BANC,20170124,132,0.38225256,0.01918372,68,-0.014558823,64,1.0625,40
CAFD,20170410,79,0.211279461,0.009388167,52,-0.010760255,27,1.925925926,40
FAF,20170117,137,0.323920717,0.008437694,76,-0.005792573,61,1.245901639,40
CMCO,20170518,52,0.362367865,0.026239461,28,-0.016092005,24,1.166666667,40
SUN,20170310,100,0.327623126,0.012467106,55,-0.008391905,45,1.222222222,40
QTWO,20170104,145,0.320490368,0.012877506,81,-0.011647789,64,1.265625,40
GMF,20170104,145,0.279963041,0.005649575,86,-0.004000052,59,1.457627119,40
FBT,20170104,145,0.256841877,0.009577104,89,-0.010920568,56,1.589285714,40
TMF,20170314,98,0.278601067,0.013923025,58,-0.013663465,40,1.45,40
SEM,20170323,91,0.29218107,0.013318297,53,-0.011492936,38,1.394736842,40
EWW,20170120,134,0.350503115,0.010610139,72,-0.00732767,62,1.161290323,40
LAUR,20170306,104,0.3648,0.016806664,55,-0.012105048,49,1.12244898,40
SYMC,20170104,145,0.260724698,0.009096911,88,-0.0097728,57,1.543859649,40
NCLH,20170104,145,0.314559477,0.011754864,82,-0.010684787,63,1.301587302,40
BRKR,20170104,145,0.319277108,0.011559005,80,-0.009732348,65,1.230769231,39
JO,20170623,28,0.230019493,0.015101448,20,-0.011269294,8,2.5,39
CCS,20170120,134,0.243373494,0.011123422,83,-0.013504675,51,1.62745098,39
OEC,20170602,43,0.16954023,0.012462623,31,-0.018355973,12,2.583333333,39
LMNR,20170124,132,0.327327327,0.016087669,72,-0.014120682,60,1.2,39
ARR,20170201,126,0.219790676,0.007756087,81,-0.009347227,45,1.8,39
V,20170104,145,0.265283019,0.006121075,87,-0.005047117,58,1.5,39
VRTU,20170104,145,0.299641862,0.016719409,82,-0.016808775,63,1.301587302,39
CHDN,20170131,127,0.341687257,0.009775396,68,-0.006146189,59,1.152542373,39
LHCG,20170113,138,0.344758065,0.012640571,74,-0.009608335,64,1.15625,39
TRMB,20170131,127,0.289706885,0.009126184,73,-0.007419749,54,1.351851852,39
ENTA,20170227,109,0.4004329,0.020036831,54,-0.013018865,55,0.981818182,39
BCC,20170120,134,0.30349345,0.015438814,76,-0.015174524,58,1.310344828,39
BBL,20170621,30,0.230476849,0.012880341,21,-0.006656977,9,2.333333333,39
VEDL,20170105,144,0.386363636,0.018963948,73,-0.014437572,71,1.028169014,39
ANTM,20170110,141,0.340710134,0.009224291,76,-0.0061447,65,1.169230769,39
TITN,20170327,89,0.296827795,0.016983789,51,-0.015322252,38,1.342105263,39
AJRD,20170110,141,0.339707537,0.013132339,76,-0.010579584,65,1.169230769,39
FTEC,20170104,145,0.202637244,0.004603003,96,-0.005186696,49,1.959183673,39
AXDX,20170131,127,0.345177665,0.020711767,68,-0.018091593,59,1.152542373,39
NNI,20170526,47,0.217857143,0.011309133,31,-0.009331225,16,1.9375,39
ORCL,20170109,142,0.306371912,0.007206655,80,-0.00485112,62,1.290322581,39
BHP,20170622,29,0.211761212,0.012026439,21,-0.007212009,8,2.625,39
PTHN,20170424,70,0.398318655,0.013998007,35,-0.003086742,35,1,39
LIT,20170104,145,0.287615974,0.007493099,84,-0.006071397,61,1.37704918,39
FIVE,20170314,98,0.312134114,0.014722779,54,-0.011492433,44,1.227272727,38
ARNC,20170104,145,0.319697759,0.015408642,79,-0.013803566,66,1.196969697,38
AMCX,20170518,52,0.250096637,0.013803394,32,-0.010560308,20,1.6,38
VTTI,20170104,145,0.162162162,0.003952722,102,-0.005773671,43,2.372093023,38
TTC,20170104,145,0.274955595,0.007215474,85,-0.006082057,60,1.416666667,38
ETQ,20170130,90,0.202145215,0.006638115,59,-0.006564374,31,1.903225806,38
AAL,20170323,91,0.252540273,0.013439176,55,-0.013877155,36,1.527777778,38
BWA,20170407,80,0.207686233,0.011338016,52,-0.013907602,28,1.857142857,38
CHU,20170123,133,0.277876106,0.01166207,77,-0.011345982,56,1.375,38
A,20170104,145,0.29855883,0.008551925,82,-0.00685466,63,1.301587302,38
FDC,20170417,75,0.232950709,0.010678466,47,-0.010218367,28,1.678571429,38
PRSC,20170124,132,0.348456376,0.012229701,69,-0.008364657,63,1.095238095,38
USD,20170118,136,0.295816146,0.015277522,77,-0.01506524,59,1.305084746,38
TREX,20170530,46,0.239757692,0.012229403,29,-0.007947268,17,1.705882353,38
JAZZ,20170104,145,0.385340032,0.014587333,72,-0.009570578,73,0.98630137,38
PKG,20170104,145,0.295516064,0.009218801,82,-0.007725018,63,1.301587302,38
FCX,20170622,29,0.281891169,0.020230894,19,-0.012174475,10,1.9,38
ITRI,20170309,101,0.233390119,0.010259984,63,-0.011220695,38,1.657894737,38
AFH,20170425,69,0.22,0.01390291,44,-0.015709588,25,1.76,38
EW,20170215,116,0.301262711,0.010180154,65,-0.007562878,51,1.274509804,38
GPX,20170313,99,0.256521739,0.014119985,59,-0.014703729,40,1.475,37
DLS,20170104,145,0.19768595,0.004000145,95,-0.00395427,50,1.9,37
IYW,20170104,145,0.200825423,0.004819936,94,-0.005226903,51,1.843137255,37
HBI,20170206,123,0.256059009,0.011834822,73,-0.012412484,50,1.46,37
VGT,20170104,145,0.202270129,0.004703755,94,-0.004994804,51,1.843137255,37
UPRO,20170104,145,0.32011976,0.009939399,78,-0.00725966,67,1.164179104,37
CONE,20170104,145,0.257074962,0.009342724,86,-0.009552029,59,1.457627119,37
QQQ,20170104,145,0.199815915,0.004349355,95,-0.004566061,50,1.9,37
PMC,20170317,95,0.307692308,0.01578142,52,-0.012292245,43,1.209302326,37
PLD,20170202,125,0.261767135,0.008432107,74,-0.007554408,51,1.450980392,37
AVD,20170322,92,0.315614618,0.018499656,50,-0.014770337,42,1.19047619,37
BOFI,20170607,40,0.255591054,0.01613726,25,-0.011210475,15,1.666666667,37
NUS,20170224,110,0.298602287,0.010916769,61,-0.008057528,49,1.244897959,37
IMOS,20170105,144,0.296119809,0.012067249,80,-0.010744665,64,1.25,37
ENV,20170328,88,0.225755167,0.009889953,55,-0.010080906,33,1.666666667,37
EPAM,20170104,145,0.286522149,0.009780418,82,-0.008565104,63,1.301587302,37
KSU,20170104,145,0.262682504,0.009303906,85,-0.009102265,60,1.416666667,37
XBI,20170104,145,0.289310287,0.011685918,82,-0.010919358,63,1.301587302,37
BKFS,20170120,134,0.229317852,0.00878126,83,-0.010039016,51,1.62745098,37
DQ,20170424,70,0.380666303,0.029411258,35,-0.01912679,35,1,37
PM,20170117,137,0.266482301,0.00740025,80,-0.006141949,57,1.403508772,37
CAF,20170117,137,0.259792627,0.008058414,80,-0.007085807,57,1.403508772,36
BAK,20170519,51,0.291732491,0.019515427,29,-0.013586511,22,1.318181818,36
KE,20170323,91,0.239202658,0.01272019,55,-0.013076759,36,1.527777778,36
ZEN,20170104,145,0.274288296,0.015246521,83,-0.015831304,62,1.338709677,36
BSFT,20170502,64,0.240056818,0.010316643,39,-0.007309558,25,1.56,36
MDC,20170110,141,0.330119553,0.012875498,74,-0.009649527,67,1.104477612,36
WMT,20170130,128,0.231647883,0.006843339,78,-0.00638954,50,1.56,36
TGI,20170515,55,0.386363636,0.039183751,27,-0.022907798,28,0.964285714,36
PLNT,20170420,72,0.259796028,0.012472982,42,-0.009508671,30,1.4,36
TWLO,20170510,58,0.245144584,0.01732556,35,-0.016268936,23,1.52173913,36
LULU,20170531,45,0.262784387,0.014793196,27,-0.008635507,18,1.5,36
CLLS,20170123,133,0.319063927,0.020653177,71,-0.018426963,62,1.14516129,36
TSS,20170202,125,0.266295707,0.007547526,72,-0.005669474,53,1.358490566,36
SERV,20170519,51,0.229080933,0.011847617,32,-0.008652644,19,1.684210526,36
EFX,20170202,125,0.236583909,0.006686338,76,-0.0059311,49,1.551020408,36
SAIA,20170417,75,0.276442308,0.016643877,43,-0.014270152,32,1.34375,36
CBM,20170315,97,0.242211055,0.011754181,58,-0.011612773,39,1.487179487,36
ANIK,20170324,90,0.252876318,0.012130843,53,-0.010893449,37,1.432432432,36
LBTYA,20170616,33,0.201812478,0.011600912,23,-0.008006035,10,2.3,36
CEQP,20170622,29,0.26119403,0.018933483,19,-0.012061186,10,1.9,35
MSG,20170124,132,0.294668975,0.009543298,72,-0.007011559,60,1.2,35
RXL,20170125,130,0.325396825,0.011085206,68,-0.007473936,62,1.096774194,35
BKF,20170104,145,0.26006192,0.007142873,84,-0.005959994,61,1.37704918,35
WBC,20170118,136,0.318491508,0.010187788,72,-0.007002678,64,1.125,35
LMT,20170202,125,0.178995616,0.004913494,83,-0.005721907,42,1.976190476,35
BID,20170109,142,0.321022727,0.014291093,75,-0.011386126,67,1.119402985,35
QSR,20170104,145,0.291276596,0.009799639,80,-0.007950551,65,1.230769231,35
EVTC,20170504,62,0.225589226,0.013424275,38,-0.012332729,24,1.583333333,35
SGC,20170203,124,0.290572792,0.017840116,68,-0.016502439,56,1.214285714,35
MA,20170202,125,0.237047619,0.00640545,75,-0.005276904,50,1.5,35
ALG,20170417,75,0.262669621,0.01087999,43,-0.007146284,32,1.34375,35
PTH,20170104,145,0.279840571,0.009521864,81,-0.008047084,64,1.265625,35
QQQC,20170104,141,0.243966165,0.008541292,84,-0.00861028,57,1.473684211,35
HEI,20170421,71,0.205694364,0.009607504,45,-0.009233762,26,1.730769231,35
BATRA,20170209,120,0.289623129,0.014455903,66,-0.012560504,54,1.222222222,35
ORBK,20170307,103,0.268335071,0.011809267,59,-0.010144033,44,1.340909091,35
HCSG,20170104,145,0.333505955,0.010399138,75,-0.006811063,70,1.071428571,35
STZ,20170106,143,0.315434412,0.009335825,76,-0.006347198,67,1.134328358,35
PIE,20170104,145,0.234817814,0.006457936,87,-0.005972569,58,1.5,35
SCHE,20170104,145,0.211954023,0.00585561,90,-0.006012369,55,1.636363636,34
CLGX,20170130,128,0.295915453,0.009063299,69,-0.006094391,59,1.169491525,34
ECH,20170110,141,0.224341752,0.007070054,85,-0.007015323,56,1.517857143,34
CHKP,20170104,145,0.254463758,0.008439258,83,-0.00745169,62,1.338709677,34
MAR,20170106,143,0.267702091,0.007962849,81,-0.006443187,62,1.306451613,34
ARGT,20170104,145,0.247043919,0.008338034,84,-0.00773783,61,1.37704918,34
AMP,20170118,136,0.311071268,0.011312651,72,-0.008309614,64,1.125,34
AMBC,20170621,30,0.232807571,0.020879522,20,-0.018836499,10,2,34
EEM,20170104,145,0.235958227,0.00635167,86,-0.005594885,59,1.457627119,34
MTRN,20170327,89,0.205974843,0.01022295,56,-0.011341897,33,1.696969697,34
GPN,20170104,145,0.34964539,0.010919003,72,-0.006502322,73,0.98630137,34
MNTA,20170424,70,0.232824427,0.018436759,42,-0.019469041,28,1.5,34
MYE,20170309,101,0.299625468,0.019426648,54,-0.016170268,47,1.14893617,34
ALLY,20170518,52,0.243139407,0.012559968,31,-0.007903867,21,1.476190476,34
LMOS,20170216,115,0.19320453,0.003397191,74,-0.001538727,41,1.804878049,34
HUM,20170208,121,0.274533907,0.009015685,67,-0.006560702,54,1.240740741,34
DHI,20170104,145,0.318214804,0.011289128,75,-0.007979508,70,1.071428571,34
CRM,20170104,145,0.28083357,0.007870644,80,-0.005773539,65,1.230769231,34
LKQ,20170417,75,0.220830351,0.009021904,46,-0.007264744,29,1.586206897,34
PKI,20170125,131,0.286600737,0.008248366,72,-0.005668952,59,1.220338983,34
SAP,20170104,145,0.241830823,0.006844251,85,-0.005991975,60,1.416666667,34
LH,20170104,145,0.243976137,0.007388385,85,-0.006699282,60,1.416666667,34
AMOT,20170315,97,0.32450675,0.020457852,50,-0.015076345,47,1.063829787,34
MFC,20170518,52,0.226754649,0.011017897,32,-0.007210756,20,1.6,34
AGCO,20170417,75,0.244184043,0.009534359,44,-0.006329077,31,1.419354839,34
ENSG,20170214,117,0.247262248,0.011878984,68,-0.011662619,49,1.387755102,34
IEMG,20170104,145,0.230482405,0.006072425,87,-0.005463506,58,1.5,34
EGP,20170203,124,0.24804744,0.008012942,72,-0.006728835,52,1.384615385,34
KMPR,20170518,52,0.283378747,0.018918115,29,-0.012391539,23,1.260869565,34
OAK,20170104,145,0.231469441,0.007255444,87,-0.007174477,58,1.5,34
EWY,20170104,145,0.27114566,0.008314135,80,-0.006438704,65,1.230769231,33
PUK,20170119,135,0.272490222,0.009453089,74,-0.007386498,61,1.213114754,33
VAR,20170201,126,0.250998068,0.007688979,72,-0.006004474,54,1.333333333,33
EBS,20170406,81,0.244522968,0.013079357,47,-0.011307123,34,1.382352941,33
EE,20170131,127,0.192650334,0.006267966,81,-0.007108977,46,1.760869565,33
LM,20170104,145,0.24723127,0.011349834,83,-0.01136782,62,1.338709677,33
AMPH,20170315,97,0.28852459,0.01619683,52,-0.012571133,45,1.155555556,33
ELY,20170207,122,0.234653465,0.009401653,72,-0.00912899,50,1.44,33
CAMP,20170104,145,0.307162534,0.012499863,76,-0.009570282,69,1.101449275,33
MRLN,20170124,132,0.251219512,0.014498669,75,-0.014729641,57,1.315789474,33
MTH,20170210,119,0.288888889,0.01224065,64,-0.009386275,55,1.163636364,33
GWPH,20170609,38,0.178563841,0.015456861,26,-0.018995838,12,2.166666667,33
SBIO,20170131,127,0.24197861,0.011120374,74,-0.011175594,53,1.396226415,33
RTN,20170127,129,0.218614416,0.005939692,78,-0.005142252,51,1.529411765,33
PJT,20170118,136,0.319512998,0.014594849,70,-0.010947175,66,1.060606061,33
FN,20170505,61,0.330959752,0.025406086,31,-0.01565272,30,1.033333333,33
MTGE,20170310,100,0.207006369,0.008123243,62,-0.008154677,38,1.631578947,33
NWS,20170104,145,0.215767635,0.008857334,88,-0.010042331,57,1.543859649,33
EWT,20170104,145,0.241089442,0.006403443,84,-0.005209643,61,1.37704918,33
DGS,20170104,145,0.212382644,0.005469187,89,-0.005191821,56,1.589285714,33
PFPT,20170421,71,0.217464789,0.016907953,43,-0.018199213,28,1.535714286,33
XYL,20170209,120,0.267234043,0.009680168,67,-0.007622946,53,1.264150943,33
PEK,20170511,57,0.18,0.007218755,37,-0.00498616,20,1.85,32
GLPG,20170131,127,0.197480952,0.011601486,79,-0.014960802,48,1.645833333,32
GRFS,20170104,145,0.299378882,0.010718939,76,-0.007850013,69,1.101449275,32
LPX,20170123,133,0.2952735,0.013333203,70,-0.010418211,63,1.111111111,32
INVA,20170131,127,0.237775647,0.015009973,73,-0.015804999,54,1.351851852,32
SWK,20170104,145,0.229114471,0.006665881,85,-0.005920002,60,1.416666667,32
AGO,20170328,88,0.234469489,0.009948772,51,-0.007858098,37,1.378378378,32
CBG,20170124,132,0.246338216,0.010830214,75,-0.010149324,57,1.315789474,32
QBQ,20170123,95,0.165394609,0.00480972,63,-0.004621342,32,1.96875,32
GDDY,20170113,138,0.247893054,0.009972115,78,-0.009085258,60,1.3,32
PEN,20170104,145,0.25058548,0.01619757,82,-0.016985137,63,1.301587302,32
EL,20170104,145,0.269494375,0.007344501,79,-0.00508924,66,1.196969697,32
GEM,20170104,145,0.223620881,0.006058647,86,-0.005345471,59,1.457627119,32
DFE,20170104,145,0.234639927,0.005783443,84,-0.004452605,61,1.37704918,32
MUSA,20170109,142,0.203342618,0.010865656,87,-0.013470096,55,1.581818182,32
TRS,20170417,75,0.208542714,0.011519707,46,-0.011326533,29,1.586206897,32
SR,20170208,121,0.196485623,0.006465281,75,-0.006552997,46,1.630434783,32
CTLT,20170118,136,0.324574961,0.013453543,68,-0.009076349,68,1,32
RDUS,20170518,52,0.310218978,0.028338312,27,-0.018687797,25,1.08,32
VICR,20170213,118,0.247349823,0.016108391,67,-0.016287628,51,1.31372549,32
DMRC,20170315,97,0.269776876,0.024558912,53,-0.02276095,44,1.204545455,32
SPXC,20170417,75,0.26981982,0.017399553,41,-0.013207567,34,1.205882353,32
SCZ,20170104,145,0.198324022,0.004180434,90,-0.00351533,55,1.636363636,32
EWQ,20170104,145,0.207623682,0.005928135,87,-0.005543806,58,1.5,31
MTUM,20170104,145,0.211750789,0.003969952,87,-0.00261513,58,1.5,31
FBHS,20170104,145,0.20690295,0.006542317,87,-0.006479372,58,1.5,31
GILD,20170619,32,0.159856519,0.009743833,23,-0.008130112,9,2.555555556,31
WERN,20170417,75,0.211498973,0.013009873,45,-0.012681321,30,1.5,31
GOL,20170524,49,0.349234923,0.030821414,24,-0.01655089,25,0.96,31
IEX,20170203,124,0.29516454,0.009514742,64,-0.00570904,60,1.066666667,31
BATRK,20170209,120,0.292030848,0.014311245,62,-0.010563257,58,1.068965517,31
VIV,20170519,51,0.138473054,0.008682014,36,-0.01187507,15,2.4,31
PSB,20170314,98,0.207805143,0.007019143,59,-0.005697921,39,1.512820513,31
AA,20170104,145,0.286507111,0.019222764,76,-0.016848491,69,1.101449275,31
SWFT,20170328,88,0.300306435,0.018799207,45,-0.012677941,43,1.046511628,31
CSII,20170110,141,0.290391611,0.016559119,73,-0.013618294,68,1.073529412,31
SHOO,20170131,127,0.224035608,0.010307579,74,-0.010370641,53,1.396226415,31
THG,20170518,52,0.207097655,0.00941541,32,-0.005524377,20,1.6,31
LCII,20170531,45,0.188711517,0.011913878,29,-0.010490115,16,1.8125,31
BAP,20170428,66,0.24670966,0.010218037,37,-0.005312983,29,1.275862069,31
WLTW,20170210,119,0.201566835,0.006640154,73,-0.006425907,46,1.586956522,31
SIG,20170531,45,0.251670844,0.021672003,26,-0.017029804,19,1.368421053,31
PICO,20170310,100,0.256603774,0.014060387,55,-0.011788951,45,1.222222222,31
BPT,20170310,100,0.25477707,0.020027204,55,-0.018566149,45,1.222222222,31
VOD,20170207,122,0.219082719,0.006908886,72,-0.005881688,50,1.44,31
KLXI,20170328,88,0.196403873,0.011638446,54,-0.01291365,34,1.588235294,31
AB,20170505,61,0.17961165,0.008556289,39,-0.007505789,22,1.772727273,31
QRVO,20170104,145,0.264461248,0.012936961,79,-0.011614044,66,1.196969697,31
RES,20170328,88,0.250742721,0.021341821,49,-0.020303309,39,1.256410256,31
RUSL,20170622,29,0.316666667,0.029557617,17,-0.017751953,12,1.416666667,31
MPWR,20170106,143,0.225712905,0.010775312,83,-0.011278706,60,1.383333333,31
EFG,20170104,145,0.192976956,0.004195914,90,-0.003620498,55,1.636363636,31
AEIS,20170104,145,0.250547445,0.013250418,81,-0.012908281,64,1.265625,31
CPK,20170124,132,0.244479495,0.008800163,74,-0.007318781,58,1.275862069,31
SGRY,20170104,145,0.251612903,0.01807108,81,-0.018483923,64,1.265625,31
EDIT,20170601,44,0.262079063,0.029108807,25,-0.024646314,19,1.315789474,31
QVCA,20170208,121,0.265163714,0.012360931,66,-0.010239941,55,1.2,31
UNH,20170221,113,0.23569344,0.007069443,65,-0.00509028,48,1.354166667,31
MGM,20170310,100,0.241053873,0.012562573,57,-0.011358489,43,1.325581395,31
CAJ,20170104,145,0.236453202,0.006412182,83,-0.005079985,62,1.338709677,31
ITUB,20170519,51,0.215264188,0.013141009,31,-0.010277531,20,1.55,31
PRTA,20170131,127,0.270002157,0.022440534,68,-0.020970807,59,1.152542373,31
EWD,20170111,140,0.1927627,0.00616228,87,-0.006691074,53,1.641509434,31
SLF,20170607,40,0.173259736,0.008938657,27,-0.006090435,13,2.076923077,31
LOGM,20170301,107,0.235422343,0.013742885,61,-0.013213455,46,1.326086957,31
PNM,20170120,134,0.224215247,0.007398457,78,-0.006589827,56,1.392857143,31
LPLA,20170104,145,0.273237855,0.01294242,78,-0.011154602,67,1.164179104,31
IBKR,20170420,72,0.201003542,0.007990006,44,-0.005901364,28,1.571428571,31
HAO,20170104,145,0.214309343,0.006216141,86,-0.005699531,59,1.457627119,31
XEL,20170111,140,0.194092827,0.005506951,87,-0.00562847,53,1.641509434,31
SUM,20170322,92,0.263954998,0.014514928,50,-0.011400993,42,1.19047619,31
ECON,20170104,145,0.220982143,0.007215404,84,-0.006570997,61,1.37704918,30
CTMX,20170104,145,0.232492997,0.023393587,82,-0.025565293,63,1.301587302,30
DO,20170710,19,0.229941292,0.024439341,14,-0.025539257,5,2.8,30
IHI,20170104,145,0.221257485,0.0054213,84,-0.004141591,61,1.37704918,30
AFTY,20170104,131,0.233125653,0.00706739,74,-0.005420845,57,1.298245614,30
COH,20170110,141,0.318948271,0.012406734,69,-0.007811103,72,0.958333333,30
TX,20170208,121,0.316540348,0.017875158,59,-0.012175289,62,0.951612903,30
TRNO,20170208,121,0.30693816,0.009572025,60,-0.004922047,61,0.983606557,30
ELS,20170104,145,0.230833917,0.006976869,83,-0.005907388,62,1.338709677,30
COWN,20170322,92,0.23715415,0.019253958,52,-0.018763567,40,1.3,30
OPB,20170323,91,0.274193548,0.014612299,48,-0.010360875,43,1.11627907,30
DVMT,20170104,145,0.172988822,0.007193058,92,-0.009289417,53,1.735849057,30
DDM,20170120,134,0.252675887,0.007136872,73,-0.004769535,61,1.196721311,30
AMAG,20170616,33,0.170807453,0.013783193,23,-0.015381498,10,2.3,30
IART,20170410,79,0.197014195,0.010883214,48,-0.010675164,31,1.548387097,30
XL,20170110,141,0.205114255,0.007263672,84,-0.007295754,57,1.473684211,30
TSEM,20170104,145,0.272964509,0.013587081,76,-0.011133294,69,1.101449275,30
TIF,20170106,143,0.208826976,0.009561662,85,-0.010494292,58,1.465517241,30
MNST,20170301,107,0.282335907,0.011219817,56,-0.007178252,51,1.098039216,30
ABT,20170104,145,0.258898848,0.007492654,78,-0.005208207,67,1.164179104,30
AMG,20170120,134,0.274798359,0.01049165,70,-0.007497823,64,1.09375,30
TOL,20170118,136,0.276375405,0.010787757,71,-0.007857997,65,1.092307692,30
EQT,20170622,29,0.222112925,0.017808497,19,-0.013021597,10,1.9,30
SFR,20170110,141,0.189661195,0.006337749,87,-0.006897728,54,1.611111111,30
IPAY,20170104,145,0.200694712,0.005076598,87,-0.004409218,58,1.5,30
TMO,20170125,131,0.246559796,0.007270656,72,-0.005021833,59,1.220338983,30
TU,20170309,101,0.159757653,0.005424701,66,-0.005909743,35,1.885714286,30
EZJ,20170104,107,0.248211857,0.010809585,59,-0.008479013,48,1.229166667,30
DE,20170104,145,0.244690053,0.007798327,80,-0.006107523,65,1.230769231,30
EZU,20170104,148,0.212802768,0.005706122,87,-0.004897342,61,1.426229508,30
QTEC,20170104,145,0.205427818,0.006220207,87,-0.006024342,58,1.5,30
MHK,20170113,138,0.244076534,0.00719621,77,-0.005411948,61,1.262295082,30
SCCO,20170104,145,0.218035825,0.010884419,85,-0.01187376,60,1.416666667,30
ALLE,20170111,140,0.252093023,0.00836988,77,-0.006534426,63,1.222222222,30
